CustomerID,Recency,Frequency,Monetary
12433,1,10,10204.26
12434,85,3,864.48
12435,268,4,1556.3799999999999
12436,100,1,429.01000000000005
12437,2,37,8494.2
12438,14,2,1753.1200000000001
12439,683,2,1048.28
12440,462,2,619.9
12441,367,1,155.55
12442,3,1,144.06
12443,732,1,232.86
12444,21,5,2382.56
12445,22,2,378.98
12446,58,1,734.36
12447,243,1,379.78999999999996
12448,44,1,283.95
12449,22,4,2733.84
12450,156,5,579.7
12451,11,8,8643.05
12452,17,1,287.67
12453,134,1,707.09
12454,56,1,66.4
12455,73,9,3169.9500000000003
12456,44,3,1663.24
12457,86,3,1215.93
12458,71,4,1281.72
12459,605,1,343.35
12460,456,1,236.95
12461,155,1,419.08
12462,19,2,657.8
12463,53,4,1155.38
12464,150,4,76.5
12465,17,2,621.49
12467,423,1,132.8
12468,188,5,2329.55
12469,523,1,1005.4000000000001
12470,690,1,183.25
12471,2,68,20523.08
12472,32,19,13052.89
12473,54,3,2218.95
12474,17,29,10118.74
12475,54,2,921.3
12476,16,16,8929.14
12477,23,9,12039.710000000001
12478,4,1,479.59000000000003
12479,11,1,426.35
12480,28,7,3648.86
12481,23,14,6662.07
12482,601,12,821.4
12483,17,16,2882.44
12484,35,9,4533.14
12485,529,1,612.3000000000001
12486,432,1,765.0
12488,10,3,952.1600000000001
12489,336,1,191.43
12490,5,20,7630.74
12491,39,1,350.75
12492,63,3,543.36
12493,166,2,332.91
12494,16,9,1384.15
12495,641,1,243.4
12496,620,2,45.34
12497,82,1,20.4
12498,21,3,349.70000000000005
12499,560,1,297.15999999999997
12500,50,14,1567.38
12501,337,1,1866.66
12502,96,5,1511.32
12504,30,3,189.0
12505,409,1,583.8
12506,233,1,57.6
12507,156,3,751.0
12508,26,2,397.88
12509,284,1,124.5
12510,143,7,2426.33
12511,429,1,2496.71
12512,66,2,124.23
12513,113,1,520.04
12514,267,2,1257.88
12515,353,1,190.8
12516,78,4,970.08
12517,28,4,2176.85
12518,1,5,1750.09
12519,64,2,562.72
12520,79,5,2061.56
12521,143,1,499.03
12522,39,2,152.72
12523,19,23,3213.1
12524,9,12,2706.7599999999998
12525,498,3,798.1800000000001
12526,1,3,1074.46
12527,82,4,461.51000000000005
12528,9,6,1121.63
12529,528,1,280.68
12530,60,9,2266.19
12531,15,2,1648.3
12532,30,1,297.33000000000004
12533,628,2,1100.89
12534,131,1,828.73
12535,92,2,577.85
12536,59,1,3659.97
12537,409,1,602.99
12538,29,2,448.2
12539,22,7,8070.1
12540,20,31,13371.79
12541,30,3,721.38
12542,484,2,359.61
12543,448,1,656.8
12544,36,1,284.9
12545,75,2,698.8
12546,47,2,969.58
12547,198,3,299.58
12548,166,1,67.19999999999999
12549,576,5,944.72
12550,79,1,748.88
12551,358,1,168.0
12552,40,1,165.47
12553,8,12,3519.07
12554,449,1,347.6
12556,50,2,513.66
12558,8,1,195.08
12559,320,1,301.41
12560,5,2,1746.16
12561,303,1,207.05
12562,8,9,3302.64
12563,409,1,221.24
12564,261,1,336.15
12565,289,1,145.92
12566,86,1,222.13
12567,23,15,8366.93
12568,645,1,30.7
12569,2,28,2704.69
12571,40,2,489.37
12572,9,2,650.87
12573,227,5,623.55
12574,316,1,162.55
12575,457,2,508.46999999999997
12576,36,8,1947.13
12577,35,8,1455.41
12578,21,4,3454.7000000000003
12579,78,1,329.12
12580,247,2,956.6
12581,40,1,169.76
12582,239,4,1308.29
12583,3,27,9847.67
12584,4,8,1100.6000000000001
12585,234,2,1212.95
12586,17,4,1455.52
12587,8,1,104.0
12588,39,3,479.73
12589,29,6,2595.41
12590,211,1,877.26
12591,317,3,942.65
12592,92,4,861.4399999999999
12593,109,3,382.09999999999997
12594,47,13,4101.92
12595,505,1,197.4
12596,51,2,288.27
12597,19,4,2544.07
12598,10,10,3127.69
12599,29,13,1676.26
12600,29,20,3913.9
12601,190,6,431.81
12602,59,1,129.22
12604,79,2,236.18
12605,376,3,1117.0
12607,60,1,1490.26
12608,405,1,159.95
12609,78,9,2605.37
12610,23,4,1479.6399999999999
12611,52,1,924.52
12612,74,1,654.0
12613,57,9,5632.39
12614,278,1,218.15
12615,2,8,4294.81
12616,95,3,712.9
12617,29,1,333.08
12618,22,1,121.41
12619,16,9,808.41
12620,15,3,1100.1399999999999
12621,2,34,12166.43
12622,232,1,123.85
12623,276,7,3039.02
12624,106,2,492.78
12625,212,4,3590.7400000000002
12626,23,9,4945.49
12627,11,6,3675.3
12628,4,3,665.46
12629,386,2,635.72
12630,10,2,905.08
12631,57,6,2891.67
12632,521,2,657.16
12633,59,7,4199.47
12634,548,1,360.0
12635,90,4,2360.92
12637,67,12,7054.79
12638,33,2,591.55
12639,239,3,971.27
12640,24,3,609.53
12641,115,1,128.9
12642,25,3,743.77
12643,221,2,73.28
12644,130,4,1694.15
12645,34,8,2966.9
12646,5,2,838.16
12647,22,32,8676.65
12648,155,4,835.15
12649,107,7,1748.29
12650,3,1,242.44000000000003
12651,335,4,377.75
12652,331,2,797.53
12653,149,3,2045.69
12654,11,5,499.33
12655,424,1,181.70000000000002
12656,17,8,3624.46
12657,11,3,623.0
12658,19,1,535.4
12659,30,1,45.6
12660,11,1,203.7
12661,436,1,162.0
12662,1,20,5702.74
12663,625,2,106.2
12664,59,5,496.8
12665,325,3,259.6
12666,394,1,600.62
12667,58,1,410.23
12668,12,9,8611.42
12669,151,2,1319.92
12670,10,7,2474.11
12671,606,1,1332.0610000000001
12672,330,2,333.5
12673,5,3,970.92
12674,39,4,1289.54
12675,578,1,613.95
12676,25,10,2062.37
12677,555,2,279.6
12678,43,14,2325.42
12679,284,1,639.86
12680,1,4,736.97
12681,15,43,21770.24
12682,4,50,16406.81
12683,4,20,7497.74
12684,8,6,1646.19
12685,28,6,2437.65
12686,372,1,71.14
12687,481,1,1721.57
12688,114,1,2770.04
12689,26,2,1020.21
12690,206,1,265.11
12691,58,5,777.8
12692,637,1,103.0
12693,127,6,961.62
12694,70,3,954.05
12695,7,7,1000.63
12696,435,2,716.01
12697,29,3,676.71
12698,590,1,218.45
12699,418,1,517.26
12700,8,4,3888.64
12701,80,6,2077.53
12702,20,1,201.0
12703,71,4,871.33
12704,7,8,1180.98
12705,15,13,9739.66
12707,292,1,417.52000000000004
12708,30,18,4014.44
12709,15,27,9976.03
12710,97,3,909.8199999999999
12711,612,2,1107.45
12712,29,21,4423.900000000001
12713,1,1,722.85
12714,9,12,10865.45
12715,106,1,263.36
12716,4,2,912.91
12717,151,3,1001.96
12718,71,1,182.35
12719,5,2,498.55
12720,3,29,5995.9
12721,32,8,3133.84
12722,115,2,726.1
12723,4,4,580.33
12724,5,7,1870.21
12725,371,3,1495.42
12726,28,11,2210.46
12727,11,10,3634.55
12728,71,5,736.92
12729,114,1,360.71000000000004
12730,522,1,583.4
12731,24,14,10550.289999999999
12732,180,1,178.26000000000002
12733,234,4,1680.1200000000001
12734,353,3,301.95
12735,315,2,375.07
12736,333,1,93.6
12738,372,1,110.4
12739,99,2,1208.8899999999999
12740,64,1,344.8
12741,533,1,236.07
12742,626,1,1080.56
12743,134,2,418.93
12744,56,8,7252.71
12745,487,2,417.93
12746,541,1,238.65
12747,2,26,5884.33
12748,1,305,32544.6
12749,4,9,4182.81
12750,129,1,184.98
12751,445,1,268.27
12752,81,1,854.12
12753,23,6,1988.77
12754,277,2,61.62
12755,281,10,578.11
12756,87,1,50.879999999999995
12757,16,7,3181.5
12758,117,7,5235.58
12759,52,8,4251.43
12760,456,1,317.8
12761,465,1,559.95
12762,8,2,1211.3
12763,369,1,320.08
12764,317,1,952.88
12765,472,6,1063.98
12766,4,9,6806.28
12767,376,1,805.46
12768,451,1,150.45000000000002
12769,239,1,869.4
12770,457,1,204.0
12771,486,1,169.5
12772,60,1,615.3199999999999
12773,564,1,29.3
12774,536,1,83.7
12775,17,7,1184.06
12776,668,1,27.5
12777,458,1,370.2
12778,20,9,1209.41
12779,38,14,4589.38
12780,599,1,242.28
12781,64,2,594.54
12782,5,11,3638.29
12783,2,4,1011.3000000000001
12784,15,2,1301.05
12785,364,3,700.65
12786,610,1,548.5
12787,10,4,736.78
12788,463,4,384.9
12789,513,2,148.5
12790,192,2,357.75
12791,600,3,378.42999999999995
12792,257,2,651.51
12793,335,3,647.73
12794,53,2,795.51
12795,19,1,144.63
12797,366,2,435.43
12798,422,1,43.49
12799,529,1,202.4
12800,470,2,500.25
12801,501,1,699.35
12802,187,5,1947.2
12803,393,1,874.41
12804,466,2,287.57
12805,382,4,999.55
12806,572,2,676.56
12807,383,1,176.6
12808,37,5,721.75
12809,178,3,1116.44
12810,535,2,474.99
12811,262,4,851.6
12812,45,1,229.64000000000001
12813,502,3,915.8
12815,148,2,687.66
12816,96,2,265.90000000000003
12817,281,3,570.98
12818,262,1,267.6
12819,458,1,335.28000000000003
12820,3,11,2306.81
12821,214,2,203.8
12822,71,2,743.28
12824,60,1,316.42
12825,521,2,260.28
12826,3,12,2585.98
12827,6,3,430.15000000000003
12828,3,6,961.96
12829,337,2,47.52
12831,262,3,315.15
12832,32,2,366.53
12833,145,1,307.03000000000003
12834,283,1,201.08
12835,428,40,5108.03
12836,59,15,3955.19
12837,173,2,421.41
12838,34,10,2188.57
12839,3,25,8716.96
12840,144,7,3723.5099999999998
12841,5,40,5525.58
12842,70,4,973.3100000000001
12843,160,23,2980.05
12844,29,4,558.02
12845,269,2,54.79
12847,22,2,1072.3799999999999
12848,676,1,154.3
12849,31,6,1854.18
12851,97,2,215.60999999999999
12852,295,1,264.15000000000003
12853,135,10,2546.4
12854,79,7,2519.7200000000003
12855,373,3,369.59000000000003
12856,8,6,1960.03
12857,211,6,2241.65
12858,383,1,87.57
12859,459,1,462.9
12860,693,1,32.97
12861,620,1,39.599999999999994
12862,426,2,798.17
12863,52,6,697.25
12864,138,2,11.149999999999999
12865,26,4,2836.7
12866,283,3,880.85
12867,26,13,7311.41
12868,186,8,1955.51
12869,682,1,230.57
12870,375,3,1261.14
12871,84,2,120.53999999999999
12872,327,12,2848.26
12873,398,2,793.6
12874,385,2,706.6999999999999
12876,58,4,2384.48
12877,4,20,2767.4
12878,236,2,839.09
12879,45,3,220.66
12880,382,2,502.43
12881,276,1,69.0
12882,9,2,995.4
12883,25,4,527.87
12884,88,1,107.25
12885,63,3,977.22
12886,68,2,1059.3600000000001
12887,384,1,194.70000000000002
12888,214,2,187.92000000000002
12889,381,4,276.06
12890,24,2,643.38
12892,397,1,237.53
12893,31,1,176.55
12894,575,1,103.95
12895,42,2,335.05
12897,205,4,291.45000000000005
12898,660,1,109.57000000000001
12899,414,1,209.85
12900,422,1,268.08
12901,10,15,1162.35
12902,265,1,87.78
12903,429,1,785.85
12904,18,2,338.21
12905,577,2,738.14
12906,12,5,1108.02
12907,396,2,403.71000000000004
12909,40,8,1805.69
12910,23,13,3685.82
12911,552,1,1131.69
12912,8,4,735.66
12913,5,10,2063.33
12914,401,1,81.06
12915,149,4,664.2
12916,139,7,2596.95
12917,400,4,597.6
12919,8,6,1159.21
12920,17,4,415.95
12921,9,74,27270.96
12922,161,1,377.3
12923,64,3,435.96999999999997
12924,88,12,1331.02
12925,5,3,661.3299999999999
12926,411,4,1439.72
12927,395,1,180.35999999999999
12928,35,12,3479.55
12929,312,1,70.95
12930,78,2,389.61
12931,67,8,562.84
12932,539,8,1271.78
12933,24,8,1283.8700000000001
12935,2,15,3683.06
12936,17,3,911.9
12937,15,9,2440.86
12938,26,1,100.22
12939,335,3,244.07999999999998
12940,55,2,515.62
12941,724,1,304.77
12942,131,3,496.7
12943,558,2,224.5
12944,36,2,519.81
12945,288,2,684.4100000000001
12946,437,1,293.8
12947,144,5,1269.59
12948,16,9,2009.3600000000001
12949,31,22,13192.76
12950,8,2,284.2
12951,9,15,2967.07
12952,6,4,1058.26
12953,10,2,576.21
12954,639,1,136.95
12955,1,11,3260.2599999999998
12956,306,4,474.57
12957,10,13,7606.99
12958,400,2,299.24
12959,484,1,63.6
12960,414,4,1071.07
12961,379,1,198.07
12962,7,2,240.89000000000001
12963,8,12,2879.93
12964,437,1,92.49000000000001
12965,89,1,595.61
12966,10,1,147.68
12967,358,3,1264.92
12968,112,1,126.0
12969,603,1,109.7
12970,7,10,1136.78
12971,4,105,7996.110000000001
12972,414,4,862.62
12973,414,1,70.05000000000001
12974,198,2,315.8
12975,437,6,1630.17
12976,212,8,2381.9
12977,156,4,305.28000000000003
12978,385,5,2370.98
12979,729,1,320.91
12980,415,4,527.76
12981,30,2,372.21999999999997
12982,243,8,2346.39
12983,598,1,314.88
12984,19,1,97.5
12985,1,2,1033.52
12986,429,9,1734.5700000000002
12987,74,5,922.91
12988,292,1,301.17
12989,3,17,2194.93
12990,31,6,604.5
12991,23,3,595.22
12992,725,1,93.35000000000001
12993,23,8,1183.51
12994,4,3,782.52
12996,376,1,198.15
12997,22,8,1708.5700000000002
12998,493,3,707.12
12999,205,2,273.78
13000,260,3,847.96
13001,4,33,15595.02
13002,318,3,387.18
13003,151,2,89.05000000000001
13004,12,35,10550.3
13005,174,4,645.33
13006,56,1,11.52
13007,580,1,116.1
13008,323,3,561.13
13010,374,2,242.4
13011,372,1,50.550000000000004
13012,9,10,2626.13
13013,1,27,9342.94
13014,11,10,3129.67
13015,53,11,4746.36
13016,73,3,709.34
13018,16,35,8422.18
13019,379,6,1140.8500000000001
13020,563,2,584.96
13021,4,17,3768.6
13022,430,1,50.3
13023,64,3,792.6700000000001
13024,471,2,451.02
13025,732,1,203.15
13026,1,7,920.32
13028,23,2,613.4399999999999
13029,31,4,197.5
13030,11,2,514.84
13031,407,5,2850.91
13032,52,9,1939.41
13033,357,2,220.55
13034,55,3,708.97
13035,74,3,649.2
13036,685,1,15.0
13037,138,12,3351.71
13038,80,3,891.46
13039,584,4,634.03
13040,9,2,676.99
13041,451,4,623.63
13042,598,3,1350.59
13043,273,1,139.7
13044,291,11,3422.78
13045,99,3,750.17
13046,31,3,690.25
13047,32,23,5889.87
13048,14,9,3894.45
13049,64,4,796.4399999999999
13050,15,34,9938.15
13051,579,1,46.8
13052,212,7,2594.78
13053,622,1,93.65
13055,78,4,2099.29
13056,551,1,148.82999999999998
13057,530,3,351.2
13058,25,3,261.45000000000005
13059,250,10,1657.07
13060,254,1,243.93
13061,72,1,200.31
13062,191,1,65.69999999999999
13063,481,1,188.4
13064,13,6,1277.22
13065,373,5,900.5500000000001
13066,24,2,372.75
13067,82,3,373.11
13069,1,37,6418.3
13070,192,4,693.2
13071,612,1,78.22
13072,267,1,177.15
13073,411,2,331.43
13074,511,3,433.8
13075,130,1,477.21
13076,458,1,135.4
13077,1,11,2486.21
13078,3,57,18859.53
13079,4,6,419.18
13080,179,4,260.83
13081,12,25,38008.69
13082,126,16,2216.92
13083,4,3,245.88
13085,158,8,2134.08
13086,383,1,397.03000000000003
13087,726,1,195.54
13088,417,1,134.26
13089,4,163,66702.38
13090,9,19,4947.12
13091,28,2,588.78
13092,71,12,1406.6100000000001
13093,276,52,20908.19
13094,206,3,252.0
13095,71,1,60.48
13097,33,27,9189.8
13098,1,27,9869.38
13101,234,4,543.61
13102,1,37,8438.93
13103,40,3,607.64
13104,3,7,860.46
13106,133,2,248.9
13107,44,9,2941.51
13108,373,2,398.29999999999995
13109,60,3,1075.1100000000001
13110,31,12,2030.7200000000003
13111,719,1,311.8
13112,541,1,20.6
13113,1,37,5604.45
13114,731,1,163.93
13115,12,10,4985.39
13116,138,1,291.29
13117,22,18,2010.74
13118,20,9,2011.91
13119,669,1,134.9
13120,239,1,30.599999999999998
13121,269,1,260.36
13122,240,1,821.1
13123,473,2,457.0
13124,90,4,3520.45
13125,524,1,96.18
13126,5,13,3333.67
13127,78,1,259.17
13129,452,2,138.45
13130,94,1,64.0
13131,23,7,2089.27
13132,262,1,60.3
13133,274,3,145.10000000000002
13134,86,6,1794.79
13135,491,1,231.0
13136,56,13,5721.92
13137,11,16,6893.57
13138,22,7,1229.46
13139,16,8,4316.9
13140,108,5,781.12
13141,85,17,6629.47
13142,19,1,215.92
13143,585,1,371.1
13144,333,2,71.6
13145,40,5,501.6
13146,26,1,228.91
13147,43,2,237.60000000000002
13148,29,25,6511.400000000001
13149,14,4,1210.68
13150,484,3,49.550000000000004
13151,296,3,1686.96
13152,417,7,1818.18
13153,6,1,140.46
13154,399,3,1271.29
13155,33,6,1225.88
13156,385,3,1375.9
13157,49,9,4644.64
13158,95,5,1500.62
13159,9,4,1215.79
13160,22,1,75.89999999999999
13161,313,2,326.93
13162,122,15,6044.33
13163,610,1,17.65
13164,569,2,87.4
13165,46,3,400.64
13166,283,2,683.01
13167,19,5,784.96
13168,36,5,1497.13
13169,64,3,462.40000000000003
13170,27,1,101.97
13171,22,3,261.51
13173,4,11,1933.3
13174,16,11,6304.56
13175,582,2,618.15
13176,46,1,337.43
13177,65,2,512.2
13178,26,21,12325.34
13179,619,1,572.3100000000001
13180,607,1,70.2
13181,381,1,359.69
13182,45,1,121.18
13183,8,15,1730.63
13184,15,10,1396.77
13185,268,1,71.4
13186,40,3,1362.02
13187,337,4,259.36
13188,11,1,99.60000000000001
13189,19,2,167.28
13190,544,3,237.0
13191,658,1,156.19
13192,95,6,2289.93
13193,61,1,95.13
13194,136,2,247.89999999999998
13195,414,1,126.78
13196,11,7,2695.7400000000002
13197,610,1,293.11
13198,10,8,4478.49
13199,8,41,4624.26
13200,22,3,607.27
13201,502,4,960.49
13202,394,7,1042.25
13203,10,10,2394.41
13204,731,1,761.96
13206,400,13,6631.94
13207,15,4,535.86
13208,59,9,1627.3
13209,30,12,5604.16
13210,94,1,293.0
13211,10,9,1283.06
13212,20,3,527.48
13213,57,11,2716.33
13214,418,7,2984.02
13216,268,1,10.5
13217,122,1,52.02
13218,127,1,56.76
13219,618,1,76.23
13220,78,5,941.39
13221,240,2,570.71
13223,200,2,77.4
13224,60,2,1807.92
13225,429,7,2219.6
13226,273,2,289.76
13227,202,1,257.7
13229,226,1,123.15
13230,4,30,4528.3
13232,13,7,969.91
13233,74,4,877.05
13234,673,2,290.35
13235,212,1,870.57
13236,25,2,592.33
13237,388,1,589.1
13238,23,5,766.6800000000001
13239,262,5,1250.72
13240,96,8,1407.27
13241,412,1,104.03
13242,112,7,699.4
13243,203,5,950.88
13244,93,1,94.79
13245,51,2,766.87
13246,18,11,1935.56
13247,18,4,474.72
13248,125,2,434.21
13249,93,3,151.82999999999998
13250,461,2,253.09
13251,402,1,252.68
13252,394,2,235.75
13253,157,4,1187.31
13254,376,1,51.410000000000004
13255,9,3,294.16
13257,436,1,81.95
13258,12,5,657.13
13259,62,9,1062.59
13260,61,1,82.32000000000001
13261,269,2,670.5
13262,263,3,421.8
13263,1,38,7692.08
13264,443,1,657.0600000000001
13265,53,5,1232.52
13266,11,18,3980.85
13267,3,33,8036.1
13268,18,10,2807.06
13269,1,27,6628.32
13271,37,1,211.49
13272,31,2,205.66000000000003
13273,113,1,128.54
13274,409,1,273.85
13275,384,2,223.91
13276,64,5,1533.46
13277,16,6,344.2
13278,41,4,1256.02
13279,78,1,137.75
13280,122,7,1740.34
13281,439,1,344.55
13282,18,4,907.99
13283,60,4,352.06
13284,331,1,148.74
13285,23,6,3127.75
13286,600,1,495.41
13287,603,3,653.29
13289,724,1,220.35
13291,156,11,2612.26
13292,39,5,744.72
13293,392,6,1003.19
13294,190,3,1440.48
13295,360,4,1011.6700000000001
13296,137,6,646.26
13297,8,7,2514.12
13298,1,1,90.0
13299,268,3,808.5
13300,169,3,1073.21
13301,104,4,507.74
13303,400,1,51.769999999999996
13304,351,4,1011.9200000000001
13305,4,16,2189.04
13306,430,1,53.65
13307,120,2,217.24
13308,23,4,1355.79
13309,7,6,1639.36
13310,28,5,1393.1000000000001
13311,4,2,408.82000000000005
13312,451,1,124.75
13313,22,12,3236.44
13314,2,3,666.69
13315,689,1,299.82000000000005
13316,37,10,1451.63
13317,66,19,4942.981
13318,1,3,379.53999999999996
13319,5,57,17365.86
13320,78,6,2211.6
13321,86,1,259.04
13322,17,1,199.48000000000002
13323,3,5,583.85
13324,36,16,2164.45
13325,82,1,471.3
13326,432,1,256.26
13327,39,19,7009.97
13328,316,1,235.68
13329,32,8,1669.08
13330,93,6,2225.86
13331,402,1,116.7
13332,14,1,338.4
13333,411,3,850.35
13334,82,5,5406.91
13336,77,1,752.8000000000001
13337,546,1,1164.79
13338,158,4,1674.92
13339,201,1,664.42
13340,45,10,3515.98
13341,261,1,603.55
13343,178,1,290.93
13344,68,3,1684.29
13345,288,1,299.70000000000005
13346,463,3,149.4
13347,70,1,148.79999999999998
13348,64,1,233.76
13349,11,1,197.32
13350,16,2,652.77
13351,66,1,323.94
13352,60,1,316.17999999999995
13354,71,1,684.91
13355,122,1,516.0
13356,80,1,548.59
13357,257,5,3120.01
13358,269,1,304.71
13359,64,2,770.26
13360,432,4,1250.29
13361,472,2,1315.5
13362,9,7,4718.77
13363,18,3,1524.45
13364,71,1,134.95999999999998
13365,34,2,1718.8700000000001
13367,432,1,359.4
13368,257,4,878.28
13369,366,1,198.38000000000002
13370,372,1,604.75
13371,505,2,1405.96
13372,90,1,290.04
13373,61,6,5873.1
13374,415,2,304.8
13375,89,2,1108.78
13376,99,3,834.3100000000001
13377,397,2,1162.21
13379,26,3,521.36
13380,433,1,62.4
13381,32,12,6234.83
13382,281,5,1303.33
13384,31,11,4610.42
13385,330,1,403.07
13386,414,2,531.86
13387,417,1,169.04
13388,131,3,858.75
13389,11,3,700.66
13390,75,1,304.68
13392,677,1,91.14
13393,584,4,932.75
13394,2,19,5508.29
13395,185,3,879.57
13396,29,2,936.69
13397,73,9,1974.31
13398,192,2,497.17
13399,464,3,249.9
13400,583,1,306.51
13402,127,4,1093.93
13403,18,3,159.0
13404,1,2,252.49
13405,74,6,779.1510000000001
13406,427,1,105.0
13407,599,2,1685.54
13408,2,89,15582.852
13410,24,7,941.62
13411,107,1,203.60000000000002
13412,620,1,334.15
13413,640,5,138.13
13414,134,5,1135.98
13415,630,3,579.57
13416,44,3,804.8000000000001
13417,5,6,1287.34
13418,12,31,8521.61
13419,64,1,221.06
13420,150,2,87.6
13421,40,8,3347.07
13422,64,1,2292.0
13423,429,1,207.07999999999998
13424,450,1,555.77
13425,108,5,2426.58
13426,1,22,6335.52
13427,19,6,793.52
13428,10,3,445.14
13429,11,4,816.69
13430,19,2,574.25
13431,67,8,2076.1
13432,571,2,379.25
13433,501,4,435.42
13434,74,5,730.62
13435,5,9,2275.56
13436,2,1,113.53999999999999
13437,14,7,2384.36
13438,547,1,46.5
13439,255,3,863.8
13440,423,7,1181.8500000000001
13441,92,2,516.56
13442,667,3,271.07
13443,449,5,951.17
13444,374,2,578.78
13445,626,1,119.4
13446,430,11,2958.61
13447,23,3,1026.69
13448,17,12,6856.67
13449,24,1,291.88
13450,27,13,2227.7599999999998
13451,26,11,6529.72
13453,166,3,624.89
13454,641,1,219.87
13455,25,6,1608.8400000000001
13456,18,5,1180.1200000000001
13457,689,2,148.22
13458,7,16,9408.67
13459,625,2,1015.6899999999999
13460,29,2,183.44
13461,39,6,846.4
13462,253,5,1087.45
13464,58,6,2370.4900000000002
13465,446,2,563.08
13466,184,5,828.0
13467,11,2,860.01
13468,2,71,9766.1
13469,653,1,62.5
13470,99,2,165.0
13471,1,4,2210.64
13472,464,2,592.24
13473,61,7,1246.26
13474,236,3,532.49
13475,191,4,1115.66
13476,179,5,1274.1200000000001
13477,38,11,2283.25
13478,469,5,1876.27
13479,201,4,683.9499999999999
13480,417,2,521.4
13481,46,11,3493.64
13482,232,2,336.09
13483,66,1,140.34
13484,241,3,536.37
13485,233,11,2250.11
13486,78,3,999.55
13487,58,5,624.62
13488,17,23,10341.710000000001
13489,105,3,175.44
13490,654,1,33.3
13491,52,27,3864.83
13492,136,3,729.24
13493,287,1,14.850000000000001
13494,312,1,296.1
13495,8,10,3678.11
13496,11,2,563.63
13497,283,6,1141.33
13498,730,1,194.15
13499,18,5,609.09
13500,23,4,1240.68
13501,288,3,2170.67
13502,17,5,554.0
13503,71,5,1567.74
13504,64,1,260.48
13505,73,4,3042.26
13506,316,5,1162.57
13507,3,4,1991.61
13508,244,2,180.49
13509,9,6,722.6800000000001
13510,1,10,3855.85
13511,677,1,236.81
13512,261,4,625.7900000000001
13513,127,3,752.09
13514,74,4,599.0
13515,73,6,1111.02
13516,73,3,805.36
13517,60,3,1839.49
13518,86,1,535.4399999999999
13519,78,2,299.41
13520,59,11,3602.45
13521,1,3,978.1800000000001
13522,30,1,125.80000000000001
13523,33,6,2622.92
13524,41,5,580.94
13525,15,1,90.0
13526,738,2,348.98
13527,34,12,3912.73
13529,79,2,206.06
13530,634,1,356.48
13531,205,6,1164.92
13532,34,1,210.31
13533,183,3,245.23999999999998
13534,2,34,6905.5
13536,1,7,2451.61
13537,426,2,544.7
13538,43,9,2008.23
13539,86,7,1228.69
13540,467,3,513.84
13541,427,2,500.25
13542,377,17,3151.44
13543,634,2,1092.06
13544,40,6,651.7
13545,391,2,313.23
13546,12,5,924.64
13547,408,1,148.63
13548,96,3,707.02
13549,26,8,881.45
13550,383,1,321.55
13551,319,2,205.95
13552,66,22,4454.84
13553,675,1,394.25
13554,380,7,1176.15
13555,74,12,4988.9400000000005
13556,429,2,186.9
13557,28,13,2870.98
13558,6,4,550.57
13560,7,1,171.42000000000002
13561,216,11,1553.2
13562,82,8,4028.61
13563,84,2,375.13
13564,354,35,13153.68
13565,19,3,407.15
13566,41,5,1645.4
13567,428,4,926.64
13568,173,1,169.20000000000002
13569,17,4,639.74
13570,243,1,211.64
13571,13,26,4160.89
13572,206,1,590.9300000000001
13573,50,6,537.08
13574,411,1,322.7
13575,23,5,674.5699999999999
13576,10,27,3788.73
13577,25,11,2960.02
